metric,group_0,group_1,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,p_value_mannwhitney,p_value_ttest_welch,auc_raw,auc_corrected,auc_direction,best_threshold,threshold_rule,sensitivity,specificity,youden_index,accuracy,balanced_accuracy,separability
s_t,CTRL,POAG,260,241,0.22555648234300613,0.29437235987843646,0.2221733294858367,0.26573856455223616,2.0228904426173313e-13,3.2432347599614515e-15,0.6898499840408554,0.6898499840408554,POAG > CTRL,0.31217452526274286,predict POAG if s_t >= threshold,0.3775933609958506,0.9230769230769231,0.3006702840727737,0.6606786427145709,0.6503351420363869,0.7357197007354692
E_low_over_E_total,CTRL,POAG,260,241,0.7338724542940441,0.7701035833377774,0.7515973455336848,0.7885633929531726,2.30186504205949e-13,2.0484877423067226e-05,0.6894031279923397,0.6894031279923397,POAG > CTRL,0.7699549832231913,predict POAG if E_low_over_E_total >= threshold,0.6680497925311203,0.6576923076923077,0.325742100223428,0.6626746506986028,0.662871050111714,0.38409234711101864
s_d,CTRL,POAG,260,241,-0.23919708585503704,-0.32634531732886984,-0.23626287486847747,-0.285687290383234,3.103395036641727e-13,8.551606634358622e-17,0.31163421640600064,0.6883657835939994,CTRL > POAG,-0.3598549438319127,predict POAG if s_d <= threshold,0.3651452282157676,0.9384615384615385,0.3036067666773061,0.6626746506986028,0.6518033833386531,-0.7854303759538552
w_t,CTRL,POAG,260,241,0.46952396316860273,0.44511177892592635,0.46991020072798084,0.4568837365151948,6.548870389219375e-13,6.821149226084265e-16,0.31425151611873603,0.685748483881264,CTRL > POAG,0.4397514444550519,predict POAG if w_t <= threshold,0.4066390041493776,0.9153846153846154,0.32202361953399294,0.6706586826347305,0.6610118097669965,-0.7503901191156381
SF_VTI,CTRL,POAG,260,241,0.4554638151657951,0.48913154416454385,0.45422039835353356,0.4739087356514503,2.804589272960133e-12,4.1618696260969844e-15,0.6805458027449729,0.6805458027449729,POAG > CTRL,0.5101833902424219,predict POAG if SF_VTI >= threshold,0.34439834024896265,0.9461538461538461,0.2905521864028088,0.656686626746507,0.6452760932014043,0.7349740981088877
v_end_over_v_mean,CTRL,POAG,260,241,0.629780762898711,0.5352185861848983,0.6352830359520147,0.5700907881585667,2.9958444620417767e-12,1.2027611247278023e-13,0.31969358442387485,0.6803064155761251,CTRL > POAG,0.44779456159323,predict POAG if v_end_over_v_mean <= threshold,0.35269709543568467,0.9423076923076923,0.29500478774337696,0.6586826347305389,0.6475023938716885,-0.6890774003135729
R_VTI,CTRL,POAG,260,241,1.6946376431529357,1.9997775052422528,1.677891022711788,1.816058582186722,3.009039995959684e-12,1.0879413651422523e-16,0.6802904564315353,0.6802904564315353,POAG > CTRL,2.133053399549371,predict POAG if R_VTI >= threshold,0.35684647302904565,0.95,0.30684647302904566,0.6646706586826348,0.6534232365145228,0.7869435299405916
gamma_t,CTRL,POAG,260,241,0.40194265123489276,0.5294706643354318,0.39737831061962614,0.4710861104029538,3.103018005649839e-12,7.661959055980418e-16,0.6801787424194062,0.6801787424194062,POAG > CTRL,0.6007833648904972,predict POAG if gamma_t >= threshold,0.36099585062240663,0.9461538461538461,0.3071496967762528,0.6646706586826348,0.6535748483881264,0.7576694490334108
t50_over_T,CTRL,POAG,260,241,0.37739830340990493,0.3481445502423486,0.37779064689480546,0.35923906234566527,3.3728500636476785e-12,8.31845418109327e-14,0.3201244813278008,0.6798755186721992,CTRL > POAG,0.3309060584995734,predict POAG if t50_over_T <= threshold,0.35684647302904565,0.9346153846153846,0.2914618576444303,0.656686626746507,0.6457309288222152,-0.6924968868712007
t_min_over_T,CTRL,POAG,260,241,0.8624073875343407,0.8316517008125864,0.8727213541666667,0.8489583333333334,3.584077030411315e-12,2.9633682745585456e-08,0.3203558889243536,0.6796441110756464,CTRL > POAG,0.8541666666666666,predict POAG if t_min_over_T <= threshold,0.5601659751037344,0.7307692307692308,0.29093520587296523,0.6487025948103793,0.6454676029364825,-0.5046290515289018
N_t_over_T,CTRL,POAG,260,241,0.9476037752526648,0.9144802525893394,0.9551632810184062,0.9382301000648985,7.100194789027072e-12,3.0209673729709107e-13,0.32285349505266514,0.6771465049473349,CTRL > POAG,0.8976919350653055,predict POAG if N_t_over_T <= threshold,0.33195020746887965,0.9538461538461538,0.2857963613150335,0.654690618762475,0.6428981806575168,-0.6779973896502638
RI,CTRL,POAG,260,241,0.6278389591477213,0.7186809993302493,0.6249804208156147,0.7034782240604961,1.0685938083519586e-11,8.554680149506863e-14,0.6756303862112991,0.6756303862112991,POAG > CTRL,0.797970190497219,predict POAG if RI >= threshold,0.34024896265560167,0.9538461538461538,0.2940951165017555,0.6586826347305389,0.6470475582508778,0.6901115024232775
N_eff_over_T,CTRL,POAG,260,241,0.9062039911061108,0.8579485622418859,0.9155069815285786,0.888385466717278,1.3518548063558604e-11,1.942364562313674e-13,0.3252473667411427,0.6747526332588574,CTRL > POAG,0.8270224190911194,predict POAG if N_eff_over_T <= threshold,0.3360995850622407,0.95,0.2860995850622407,0.654690618762475,0.6430497925311203,-0.6832111726083447
Delta_DTI,CTRL,POAG,260,241,0.07802745399331137,0.09547964125060705,0.0780944067487715,0.08891705943177512,5.616919655767694e-11,1.185239049660941e-13,0.6693424832428982,0.6693424832428982,POAG > CTRL,0.10964494560995781,predict POAG if Delta_DTI >= threshold,0.34439834024896265,0.9423076923076923,0.28670603255665494,0.654690618762475,0.6433530162783274,0.6896450004507049
mu_t_over_T,CTRL,POAG,260,241,0.4188062299009194,0.40171628717262947,0.418337813916363,0.4074583980697172,1.1568764788034718e-10,2.984738048097007e-13,0.3334663262049154,0.6665336737950847,CTRL > POAG,0.3879194924472696,predict POAG if mu_t_over_T <= threshold,0.35269709543568467,0.9384615384615385,0.29115863389722313,0.656686626746507,0.6455793169486116,-0.6776035871290762
